5201,贵阳市,520181,清镇市,2,2,专科（高职）,3117,贵州工商职业学院,民办,52,贵州,财经类,
1101,北京市,110108,海淀区,1,1,普通本科,140,清华大学,公办,11,北京,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,31,北京大学,公办,11,北京,综合类,双一流
3301,杭州市,330106,西湖区,1,1,普通本科,114,浙江大学,公办,33,浙江,综合类,双一流
3101,上海市,310112,闵行区,1,1,普通本科,125,上海交通大学,公办,31,上海,综合类,双一流
3101,上海市,310110,杨浦区,1,1,普通本科,132,复旦大学,公办,31,上海,综合类,双一流
3201,南京市,320106,鼓楼区,1,1,普通本科,111,南京大学,公办,32,江苏,综合类,双一流
3401,合肥市,340111,包河区,1,1,普通本科,66,中国科学技术大学,公办,34,安徽,理工类,双一流
4201,武汉市,420111,洪山区,1,1,普通本科,127,华中科技大学,公办,42,湖北,综合类,双一流
4201,武汉市,420106,武昌区,1,1,普通本科,42,武汉大学,公办,42,湖北,综合类,双一流
6101,西安市,610103,碑林区,1,1,普通本科,330,西安交通大学,公办,61,陕西,综合类,双一流
4401,广州市,0,,1,1,普通本科,104,中山大学,公办,44,广东,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,47,北京航空航天大学,公办,11,北京,理工类,双一流
3201,南京市,320102,玄武区,1,1,普通本科,109,东南大学,公办,32,江苏,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,143,北京理工大学,公办,11,北京,理工类,双一流
5101,成都市,510107,武侯区,1,1,普通本科,99,四川大学,公办,51,四川,综合类,双一流
2301,哈尔滨市,230103,南岗区,1,1,普通本科,34,哈尔滨工业大学,公办,23,黑龙江,理工类,双一流
1101,北京市,110101,东城区,2,2,普通本科,573,北京协和医学院,公办,11,北京,医药类,双一流
3101,上海市,310110,杨浦区,1,1,普通本科,73,同济大学,公办,31,上海,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,46,中国人民大学,公办,11,北京,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,52,北京师范大学,公办,11,北京,师范类,双一流
1201,天津市,120104,南开区,1,1,普通本科,60,天津大学,公办,12,天津,综合类,双一流
1201,天津市,120104,南开区,1,1,普通本科,59,南开大学,公办,12,天津,综合类,双一流
3701,济南市,370112,历城区,1,1,普通本科,126,山东大学,公办,37,山东,综合类,双一流
6101,西安市,610103,碑林区,1,1,普通本科,107,西北工业大学,公办,61,陕西,理工类,双一流
3502,厦门市,350203,思明区,1,1,普通本科,102,厦门大学,公办,35,福建,综合类,双一流
4301,长沙市,0,,1,1,普通本科,123,中南大学,公办,43,湖南,综合类,双一流
2201,长春市,220104,朝阳区,1,1,普通本科,122,吉林大学,公办,22,吉林,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,557,中国农业大学,公办,11,北京,农林类,双一流
2102,大连市,210211,甘井子区,1,1,普通本科,138,大连理工大学,公办,21,辽宁,理工类,双一流
3101,上海市,310112,闵行区,1,1,普通本科,131,华东师范大学,公办,31,上海,师范类,双一流
4401,广州市,440106,天河区,1,1,普通本科,105,华南理工大学,公办,44,广东,综合类,双一流
5101,成都市,510108,成华区,1,1,普通本科,661,电子科技大学,公办,51,四川,理工类,双一流
4301,长沙市,430104,岳麓区,1,1,普通本科,44,湖南大学,公办,43,湖南,综合类,双一流
5001,重庆市,500106,沙坪坝区,1,1,普通本科,119,重庆大学,公办,50,重庆,综合类,双一流
4403,深圳市,0,,2,2,普通本科,2941,南方科技大学,公办,44,广东,理工类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,144,北京科技大学,公办,11,北京,理工类,双一流
3101,上海市,310110,杨浦区,1,2,普通本科,130,上海财经大学,公办,31,上海,财经类,双一流
3201,南京市,320104,秦淮区,1,2,普通本科,77,南京航空航天大学,公办,32,江苏,理工类,双一流
3201,南京市,320102,玄武区,1,2,普通本科,112,南京理工大学,公办,32,江苏,理工类,双一流
6201,兰州市,620102,城关区,1,1,普通本科,97,兰州大学,公办,62,甘肃,综合类,双一流
2101,沈阳市,210102,和平区,1,1,普通本科,134,东北大学,公办,21,辽宁,理工类,双一流
1101,北京市,110106,丰台区,2,2,普通本科,584,首都医科大学,公办,11,北京,医药类,
6101,西安市,610113,雁塔区,1,2,普通本科,57,西安电子科技大学,公办,61,陕西,理工类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,38,北京交通大学,公办,11,北京,理工类,双一流
3101,上海市,310115,浦东新区,2,2,普通本科,3151,上海科技大学,公办,31,上海,理工类,双一流
3205,苏州市,0,,1,2,普通本科,118,苏州大学,公办,32,江苏,综合类,双一流
3101,上海市,310104,徐汇区,1,2,普通本科,133,华东理工大学,公办,31,上海,理工类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,566,中央财经大学,公办,11,北京,财经类,双一流
2301,哈尔滨市,230103,南岗区,1,2,普通本科,124,哈尔滨工程大学,公办,23,黑龙江,理工类,双一流
2201,长春市,220102,南关区,1,2,普通本科,142,东北师范大学,公办,22,吉林,师范类,双一流
4401,广州市,440111,白云区,2,2,普通本科,960,南方医科大学,公办,44,广东,医药类,
4201,武汉市,420111,洪山区,1,2,普通本科,417,华中农业大学,公办,42,湖北,农林类,双一流
1101,北京市,110114,昌平区,1,2,普通本科,832,中国石油大学（北京）,公办,11,北京,理工类,双一流
3201,南京市,320115,江宁区,2,2,普通本科,168,南京医科大学,公办,32,江苏,医药类,双一流
4403,深圳市,440307,龙岗区,2,2,普通本科,3202,香港中文大学（深圳）,内地与港澳台地区合作办学,44,广东,综合类,
3201,南京市,320102,玄武区,1,2,普通本科,113,南京农业大学,公办,32,江苏,农林类,双一流
4101,郑州市,410172,郑州高新技术产业开发区,1,2,普通本科,62,郑州大学,公办,41,河南,综合类,双一流
4401,广州市,440106,天河区,1,2,普通本科,106,暨南大学,公办,44,广东,综合类,双一流
2301,哈尔滨市,230103,南岗区,2,2,普通本科,429,哈尔滨医科大学,公办,23,黑龙江,医药类,
3201,南京市,320113,栖霞区,1,2,普通本科,115,南京师范大学,公办,32,江苏,师范类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,128,武汉理工大学,公办,42,湖北,理工类,双一流
3203,徐州市,320312,铜山区,1,2,普通本科,110,中国矿业大学,公办,32,江苏,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,53,对外经济贸易大学,公办,11,北京,财经类,双一流
2101,沈阳市,210113,沈北新区,2,2,普通本科,230,中国医科大学,公办,21,辽宁,医药类,
1101,北京市,110114,昌平区,1,2,普通本科,569,中国政法大学,公办,11,北京,政法类,双一流
3202,无锡市,320211,滨湖区,1,2,普通本科,86,江南大学,公办,32,江苏,综合类,双一流
1201,天津市,120101,和平区,1,2,普通本科,78,天津医科大学,公办,12,天津,医药类,双一流
3101,上海市,310113,宝山区,1,2,普通本科,76,上海大学,公办,31,上海,综合类,双一流
3702,青岛市,370212,崂山区,1,1,普通本科,61,中国海洋大学,公办,37,山东,综合类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,420,华中师范大学,公办,42,湖北,师范类,双一流
5101,成都市,510117,郫都区,1,2,普通本科,51,西南交通大学,公办,51,四川,理工类,双一流
3702,青岛市,370211,黄岛区,1,2,普通本科,120,中国石油大学（华东）,公办,37,山东,理工类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,121,中国地质大学（武汉）,公办,42,湖北,理工类,双一流
6101,西安市,610116,长安区,1,2,普通本科,334,陕西师范大学,公办,61,陕西,师范类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,48,北京邮电大学,公办,11,北京,理工类,双一流
3301,杭州市,0,,2,2,普通本科,242,浙江工业大学,公办,33,浙江,理工类,
3201,南京市,320115,江宁区,1,2,普通本科,116,河海大学,公办,32,江苏,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,30,北京工业大学,公办,11,北京,理工类,双一流
6101,西安市,610103,碑林区,1,2,普通本科,37,西北大学,公办,61,陕西,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,556,北京化工大学,公办,11,北京,理工类,双一流
5001,重庆市,500109,北碚区,1,2,普通本科,934,西南大学,公办,50,重庆,综合类,双一流
5301,昆明市,530114,呈贡区,1,2,普通本科,35,云南大学,公办,53,云南,综合类,双一流
5101,成都市,510105,青羊区,1,2,普通本科,101,西南财经大学,公办,51,四川,财经类,双一流
3601,南昌市,360111,青山湖区,1,2,普通本科,108,南昌大学,公办,36,江西,综合类,双一流
4201,武汉市,420112,东西湖区,1,2,普通本科,414,中南财经政法大学,公办,42,湖北,财经类,双一流
4403,深圳市,440305,南山区,2,2,普通本科,284,深圳大学,公办,44,广东,综合类,
6104,咸阳市,610403,杨陵区,1,1,普通本科,332,西北农林科技大学,公办,61,陕西,农林类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,39,北京外国语大学,公办,11,北京,语言类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,830,中国地质大学（北京）,公办,11,北京,理工类,双一流
1101,北京市,110114,昌平区,1,2,普通本科,831,华北电力大学,公办,11,北京,理工类,双一流
3101,上海市,310117,松江区,1,2,普通本科,135,东华大学,公办,31,上海,综合类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,1006,中国矿业大学（北京）,公办,11,北京,理工类,双一流
3302,宁波市,330205,江北区,2,2,普通本科,240,宁波大学,公办,33,浙江,综合类,双一流
4401,广州市,440106,天河区,1,2,普通本科,98,华南师范大学,公办,44,广东,师范类,双一流
3211,镇江市,321102,京口区,2,2,普通本科,170,江苏大学,公办,32,江苏,综合类,
3501,福州市,350102,鼓楼区,1,2,普通本科,103,福州大学,公办,35,福建,理工类,双一流
3210,扬州市,321002,广陵区,2,2,普通本科,173,扬州大学,公办,32,江苏,综合类,
3401,合肥市,340103,庐阳区,1,2,普通本科,63,合肥工业大学,公办,34,安徽,理工类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,49,北京中医药大学,公办,11,北京,医药类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,43,北京林业大学,公办,11,北京,农林类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,558,中国传媒大学,公办,11,北京,综合类,双一流
3201,南京市,0,,2,2,普通本科,160,南京邮电大学,公办,32,江苏,理工类,双一流
3101,上海市,310115,浦东新区,2,2,普通本科,3039,上海纽约大学,中外合作办学,31,上海,综合类,
4301,长沙市,0,,1,2,普通本科,58,湖南师范大学,公办,43,湖南,师范类,双一流
5001,重庆市,500103,渝中区,2,2,普通本科,178,重庆医科大学,公办,50,重庆,医药类,
3501,福州市,0,,2,2,普通本科,473,福建师范大学,公办,35,福建,师范类,
3307,金华市,0,,2,2,普通本科,241,浙江师范大学,公办,33,浙江,综合类,
3201,南京市,0,,2,2,普通本科,171,南京工业大学,公办,32,江苏,理工类,
4501,南宁市,450107,西乡塘区,1,2,普通本科,96,广西大学,公办,45,广西,综合类,双一流
1101,北京市,110108,海淀区,2,2,普通本科,589,首都师范大学,公办,11,北京,师范类,双一流
6101,西安市,0,,1,2,普通本科,36,长安大学,公办,61,陕西,理工类,双一流
3201,南京市,0,,2,2,普通本科,169,南京林业大学,公办,32,江苏,农林类,双一流
4401,广州市,440106,天河区,2,2,普通本科,287,华南农业大学,公办,44,广东,综合类,双一流
3101,上海市,310115,浦东新区,2,2,普通本科,310,上海中医药大学,公办,31,上海,医药类,双一流
3401,合肥市,0,,1,2,普通本科,67,安徽大学,公办,34,安徽,综合类,双一流
5201,贵阳市,520111,花溪区,1,2,普通本科,935,贵州大学,公办,52,贵州,综合类,双一流
3303,温州市,330304,瓯海区,2,2,普通本科,251,温州医科大学,公办,33,浙江,医药类,
